"Method","name1","name2","HeS","HoS","DL","HD","DR"
"CbMPDiCbraya","m.R.A.R.1","m.R.A.R.2",0.00645148939428747,0.571349261046022,0.00872961176200322,0.186844321923578,0.22662531587411
"CbMPDiCbraya","m.R.A.R.1","m.R.A.R.3",0.0103568420246573,0.464086070908952,0.02004364805881,0.184795926181178,0.320717512826403
"CbMPDiCbraya","m.R.A.R.1","m.R.A.R.4",0.00626005053985757,0.537828317635347,0.0142430507695842,0.0670418868213493,0.374626694233862
"CbMPDiCbraya","m.R.A.R.1","m.R.A.R.5",0.00670035990504633,0.528964698675243,0.0234512596676621,0.130025269928785,0.310858411823264
"CbMPDiCbraya","m.R.A.R.1","m.R.A.R.6",0.00752354697909488,0.458687495214029,0.0251550654720882,0.156080098016693,0.352553794318095
"CbMPDiCbraya","m.R.A.R.1","m.R.B.R.1",0.00120606478290834,0.471801056742476,0.0315299793246037,0.151332414426832,0.344130484723179
"CbMPDiCbraya","m.R.A.R.1","m.R.B.R.2",0.0098591010031396,0.478577992189295,0.0124435255379432,0.192664063098246,0.306455318171376
"CbMPDiCbraya","m.R.A.R.1","m.R.B.R.3",0.00166551803354009,0.471839344513362,0.0280075044030937,0.169901983306532,0.328585649743472
"CbMPDiCbraya","m.R.A.R.1","m.R.B.R.4",0.00185695688796998,0.528409525997396,0.0152002450417337,0.0972700819358297,0.35726319013707
"CbMPDiCbraya","m.R.A.R.1","m.R.B.R.5",0.00246956122214565,0.537790029864461,0.0142813385404702,0.10912014702504,0.336338923347883
"CbMPDiCbraya","m.R.A.R.1","m.R.B.R.6",0.0012826403246803,0.497798453174056,0.0289455547898001,0.163297342828701,0.308676008882763
"CbMPDiCbraya","m.R.A.R.1","m.R.C.R.1",0.00266100007657554,0.631575924649667,0.0155448349797075,0.100945707940884,0.249272532353166
"CbMPDiCbraya","m.R.A.R.1","m.R.C.R.2",0.000708323761390612,0.618998391913623,0.0184355616815989,0.107339765678842,0.254517956964546
"CbMPDiCbraya","m.R.A.R.1","m.R.C.R.3",0,0.524102151772724,0.0210965617581744,0.195229343747607,0.259571942721495
"CbMPDiCbraya","m.R.A.R.1","m.R.C.R.4",0.00130178421012329,0.522589784822728,0.0158319932613523,0.149724328049621,0.310552109656176
"CbMPDiCbraya","m.R.A.R.1","m.R.C.R.5",0.00476682747530439,0.524810475534114,0.0211157056436174,0.140898996860403,0.308407994486561
"CbMPDiCbraya","m.R.A.R.1","m.R.C.R.6",0,0.5309939505322,0.0230875258442453,0.126962248257906,0.318956275365648
"CbMPDiCbraya","m.R.A.R.1","m.R.D.R.1",0.00114863312657937,0.517516655180335,0.0211539934145034,0.0735316639865227,0.386649054292059
"CbMPDiCbraya","m.R.A.R.1","m.R.D.R.2",0.00570487786201087,0.483612834060801,0.0275863389233479,0.0539666130637874,0.429129336090053
"CbMPDiCbraya","m.R.A.R.1","m.R.D.R.3",0.00105291369936442,0.509016770043648,0.0141473313423692,0.174458228041963,0.301324756872655
"CbMPDiCbraya","m.R.A.R.1","m.R.D.R.4",0,0.52638027414044,0.0140516119151543,0.105635959874416,0.35393215406999
"CbMPDiCbraya","m.R.A.R.1","m.R.D.R.5",0.00392449651581285,0.508442453480358,0.0247530438777854,0.125564744620568,0.337315261505475
"CbMPDiCbraya","m.R.A.R.1","m.R.D.R.6",0.00202925185695689,0.45709855272226,0.0245998927942415,0.12678995328892,0.389482349337622
"CbMPDiCbraya","m.R.A.R.1","m.T.A.R.1",0,0.408568803124282,0.0623707787732598,0.0459070372922888,0.483153380810169
"CbMPDiCbraya","m.R.A.R.1","m.T.A.R.2",0.00185695688796998,0.413565357224902,0.0375794471245884,0.0947430890573551,0.452255149705184
"CbMPDiCbraya","m.R.A.R.1","m.T.A.R.3",0.0104717053373153,0.407037292288843,0.0386323608239528,0.0485680373688644,0.495290604181025
"CbMPDiCbraya","m.R.A.R.1","m.T.A.R.4",0.00124435255379432,0.465904740026036,0.0858794700972509,0.0574890879852975,0.389482349337622
"CbMPDiCbraya","m.R.A.R.1","m.T.A.R.5",0.00176123746075503,0.428650738953978,0.063864001837813,0.069396584730837,0.436327437016617
"CbMPDiCbraya","m.R.A.R.1","m.T.A.R.6",0,0.398058810016081,0.0415422314112872,0.0464622099701355,0.513936748602496
"CbMPDiCbraya","m.R.A.R.1","m.T.B.R.1",0,0.423386170457156,0.0403553105138219,0.0767478367409449,0.459510682288077
"CbMPDiCbraya","m.R.A.R.1","m.T.B.R.2",0.00348418715062409,0.435121372233709,0.051133318018225,0.0487594762232943,0.461501646374148
"CbMPDiCbraya","m.R.A.R.1","m.T.B.R.3",0.000306302167087832,0.411746688107818,0.0585802894555479,0.0557661382954284,0.473600581974117
"CbMPDiCbraya","m.R.A.R.1","m.T.B.R.4",0.00277586338923348,0.426238609388161,0.041963396891033,0.0968872042269699,0.432134926104602
"CbMPDiCbraya","m.R.A.R.1","m.T.B.R.5",0.00256528064936059,0.428287005130561,0.0518799295505016,0.0964660387472241,0.420801745922352
"CbMPDiCbraya","m.R.A.R.1","m.T.B.R.6",0.00359905046328203,0.406482119610996,0.0484340301707635,0.116835132858565,0.424649666896393
"CbMPDiCbraya","m.R.A.R.1","m.T.C.R.1",0.0027375756183475,0.39997319856038,0.109541312504786,0.0525882533118922,0.435159660004595
"CbMPDiCbraya","m.R.A.R.1","m.T.C.R.2",0.00197182020062792,0.394459759552799,0.0686499731985604,0.0694540163871659,0.465464430660847
"CbMPDiCbraya","m.R.A.R.1","m.T.C.R.3",0,0.41406309824642,0.0522436633739184,0.0759820813232254,0.457711157056436
"CbMPDiCbraya","m.R.A.R.1","m.T.C.R.4",0.000306302167087832,0.395761543762922,0.0739719733517115,0.101022283482656,0.428937897235623
"CbMPDiCbraya","m.R.A.R.1","m.T.C.R.5",0.00407764759935676,0.404165709472394,0.0708706639099472,0.130063557699671,0.390822421318631
"CbMPDiCbraya","m.R.A.R.1","m.T.C.R.6",0.00239298568037369,0.415384026341986,0.0507695841948082,0.137376521938893,0.394076881843939
"CbMPDiCbraya","m.R.A.R.1","m.T.D.R.1",0.000306302167087832,0.410770349950226,0.0704686423156444,0.0650509227352783,0.453403782831764
"CbMPDiCbraya","m.R.A.R.1","m.T.D.R.2",0.00308216555632131,0.396661306378743,0.0673481889884371,0.0332912167853588,0.49961712229114
"CbMPDiCbraya","m.R.A.R.1","m.T.D.R.3",0.00183781300252699,0.385749291676239,0.0608775557087066,0.0433609005283712,0.508174439084156
"CbMPDiCbraya","m.R.A.R.1","m.T.D.R.4",0.00220154682594379,0.407190443372387,0.0350333103606708,0.0251359215866452,0.530438777854353
"CbMPDiCbraya","m.R.A.R.1","m.T.D.R.5",0.00246956122214565,0.39978175970595,0.0807871965694157,0.114423003292748,0.40253847920974
"CbMPDiCbraya","m.R.A.R.1","m.T.D.R.6",0.0031013094417643,0.420265717129949,0.0735508078719657,0.0677119228118539,0.435370242744467
"CbMPDiCbraya","m.R.A.R.1","R.R.A.R.1",0,0.475438394976644,0.0231066697296883,0.139233478826863,0.362221456466804
"CbMPDiCbraya","m.R.A.R.1","R.R.A.R.2",0.00107205758480741,0.476529596446895,0.0299027490619496,0.137146795313577,0.355348801592771
"CbMPDiCbraya","m.R.A.R.1","R.R.A.R.3",0,0.441802588253312,0.038383490313194,0.0955088444750747,0.424305076958419
"CbMPDiCbraya","m.R.A.R.1","R.R.A.R.4",0.000804043188605559,0.536124511830921,0.012768971590474,0.119132399111724,0.331170074278275
"CbMPDiCbraya","m.R.A.R.1","R.R.A.R.5",0.000555172677846696,0.500957194272149,0.021824029405008,0.110019909640861,0.366643694004135
"CbMPDiCbraya","m.R.A.R.1","R.R.A.R.6",0.00185695688796998,0.547687418638487,0.0138984608316104,0.114154988896546,0.322402174745386
"CbMPDiCbraya","m.R.A.R.1","R.R.B.R.1",0.00294815835822038,0.510931158587947,0.0176698062638793,0.144344896240141,0.324105980549812
"CbMPDiCbraya","m.R.A.R.1","R.R.B.R.2",0.000650892105061643,0.491308676008883,0.0260739719733517,0.166398652270465,0.315567807642239
"CbMPDiCbraya","m.R.A.R.1","R.R.B.R.3",0.00204839574239988,0.452963473466575,0.0294624396967609,0.0947239451719121,0.420801745922352
"CbMPDiCbraya","m.R.A.R.1","R.R.B.R.4",0.000172294968986906,0.50871046787656,0.0179569645455242,0.131920514587641,0.341239758021288
"CbMPDiCbraya","m.R.A.R.1","R.R.B.R.5",0.0012826403246803,0.479152308752584,0.0315682670954897,0.154318860555938,0.333677923271307
"CbMPDiCbraya","m.R.A.R.1","R.R.B.R.6",0.00199096408607091,0.568152232177043,0.0121755111417413,0.141186155142048,0.276495137453098
"CbMPDiCbraya","m.R.A.R.1","R.R.C.R.1",0.000861474844934528,0.582663297342829,0.0206945401638717,0.147235622942032,0.248545064706333
"CbMPDiCbraya","m.R.A.R.1","R.R.C.R.2",0,0.578432498659928,0.0168657630752738,0.106037981468719,0.298663756796079
"CbMPDiCbraya","m.R.A.R.1","R.R.C.R.3",0.000861474844934528,0.542748296194196,0.021824029405008,0.129584960563596,0.304981238992266
"CbMPDiCbraya","m.R.A.R.1","R.R.C.R.4",0.00162723026265411,0.54251856956888,0.0149130867600888,0.136917068688261,0.304024044720116
"CbMPDiCbraya","m.R.A.R.1","R.R.C.R.5",0.00118692089746535,0.532793475763841,0.0177080940347653,0.082050693008653,0.366260816295275
"CbMPDiCbraya","m.R.A.R.1","R.R.C.R.6",0.0025461367639176,0.58536258519029,0.0173443602113485,0.0327169002220691,0.362030017612375
"CbMPDiCbraya","m.R.A.R.1","R.R.D.R.1",0.00262271230568956,0.499827705031013,0.045581591239758,0.15202159430278,0.29994639712076
"CbMPDiCbraya","m.R.A.R.1","R.R.D.R.2",0.00195267631518493,0.480013783597519,0.0458304617505169,0.149188299257217,0.323014779079562
"CbMPDiCbraya","m.R.A.R.1","R.R.D.R.3",0.00331189218163719,0.492074431426602,0.0486637567960793,0.0989738877402558,0.356976031855425
"CbMPDiCbraya","m.R.A.R.1","R.R.D.R.4",0.00323531663986523,0.507523546979095,0.0544452101998622,0.0306876483651122,0.404108277816066
"CbMPDiCbraya","m.R.A.R.1","R.R.D.R.5",0.00248870510758864,0.51709548970059,0.0559575771498583,0.0697220307833678,0.354736197258596
"CbMPDiCbraya","m.R.A.R.1","R.R.D.R.6",0.00760012252086684,0.546155907803048,0.0283712382265105,0.105463664905429,0.312409066544146
"CbMPDiCbraya","m.R.A.R.1","R.T.A.R.1",0.000727467646833601,0.435485106057125,0.0679033616662838,0.101213722337086,0.394670342292672
"CbMPDiCbraya","m.R.A.R.1","R.T.A.R.2",0.0010912014702504,0.423635040967915,0.0331189218163718,0.0280457921739796,0.514109043571483
"CbMPDiCbraya","m.R.A.R.1","R.T.A.R.3",0.00285243893100544,0.436557163641933,0.0574125124435255,0.191228271690022,0.311949613293514
"CbMPDiCbraya","m.R.A.R.1","R.T.A.R.4",0.00112948924113638,0.492687035760778,0.0297878857492917,0.0808446282257447,0.395550961023049
"CbMPDiCbraya","m.R.A.R.1","R.T.A.R.5",0.00258442453480358,0.470020675396278,0.0290221303315721,0.0989930316256988,0.399379738111647
"CbMPDiCbraya","m.R.A.R.1","R.T.A.R.6",0.00143579140822421,0.631365341909794,0.00874875564744621,0.0404701738264798,0.317979937208056
"CbMPDiCbraya","m.R.A.R.1","R.T.B.R.1",0.000516884906960717,0.395952982617352,0.0598246420093422,0.076632973428287,0.467072517038058
"CbMPDiCbraya","m.R.A.R.1","R.T.B.R.2",0.000344589937973811,0.440079638563443,0.0302281951144804,0.0661612680909717,0.463186308293131
"CbMPDiCbraya","m.R.A.R.1","R.T.B.R.3",0.00227812236771575,0.414216249329964,0.0542537713454323,0.0599777930928861,0.469274063864002
"CbMPDiCbraya","m.R.A.R.1","R.T.B.R.4",0.00281415116011946,0.457021977180489,0.0603223830308599,0.1156482119611,0.364193276667432
"CbMPDiCbraya","m.R.A.R.1","R.T.B.R.5",0.00149322306455318,0.441706868826097,0.0533157209587258,0.0758672180105674,0.427616969140057
"CbMPDiCbraya","m.R.A.R.1","R.T.B.R.6",0.00080404318860556,0.440022206907114,0.0733976567884218,0.0993184776782296,0.386457615437629
"CbMPDiCbraya","m.R.A.R.1","R.T.C.R.1",0.000516884906960717,0.406386400183781,0.0837162110421931,0.134830385174975,0.37455011869209
"CbMPDiCbraya","m.R.A.R.1","R.T.C.R.2",0.00354161880695306,0.444846466038747,0.0715406999004518,0.11007734129719,0.369993873956658
"CbMPDiCbraya","m.R.A.R.1","R.T.C.R.3",0.000631748219618654,0.434087602419787,0.0402787349720499,0.108469254919979,0.416532659468566
"CbMPDiCbraya","m.R.A.R.1","R.T.C.R.4",0.000306302167087832,0.419097940117926,0.0498889654644307,0.0879661536105368,0.442740638640018
"CbMPDiCbraya","m.R.A.R.1","R.T.C.R.5",0.00220154682594379,0.429416494371698,0.0614518722719963,0.138123133471169,0.368806953059193
"CbMPDiCbraya","m.R.A.R.1","R.T.C.R.6",0.000650892105061643,0.48014779079562,0.0289264109043571,0.0996822115016464,0.390592694693315
"CbMPDiCbraya","m.R.A.R.1","R.T.D.R.1",0.00141664752278122,0.421069760318554,0.0852668657630753,0.10098399571177,0.39126273068382
"CbMPDiCbraya","m.R.A.R.1","R.T.D.R.2",0,0.413718508308446,0.0505207136840493,0.135174975112949,0.400585802894555
"CbMPDiCbraya","m.R.A.R.1","R.T.D.R.3",0.00264185619113255,0.430986292978023,0.069396584730837,0.166456083926794,0.330519182173214
"CbMPDiCbraya","m.R.A.R.1","R.T.D.R.4",0.00432651811011563,0.395914694846466,0.0561681598897312,0.0562638793169462,0.487326747836741
"CbMPDiCbraya","m.R.A.R.1","R.T.D.R.5",0,0.497185848839881,0.0218048855195651,0.130369859866759,0.350639405773796
"CbMPDiCbraya","m.R.A.R.1","R.T.D.R.6",0.0045562447354315,0.440328509074202,0.060303239145417,0.0667547285397044,0.428057278505245
"CbMPDiCbraya","m.R.A.R.1","v.R.A.R.1",0.00308216555632131,0.41463741480971,0.0907228731143273,0.0690711386783062,0.422486407841335
"CbMPDiCbraya","m.R.A.R.1","v.R.A.R.2",0.00543686346580902,0.389941802588253,0.0987824488858259,0.0190098782448886,0.486829006815223
"CbMPDiCbraya","m.R.A.R.1","v.R.A.R.3",0.00078489930316257,0.404567731066697,0.0704686423156444,0.0655869515276821,0.458591775786814
"CbMPDiCbraya","m.R.A.R.1","v.R.A.R.4",0.00576230951833984,0.409679148479975,0.0989355999693698,0.0155256910942645,0.47009725093805
"CbMPDiCbraya","m.R.A.R.1","v.R.A.R.5",0.0032927482961942,0.422428976185007,0.0762118079485412,0.0398384256068612,0.458228041963397
"CbMPDiCbraya","m.R.A.R.1","v.R.A.R.6",0.0023738417949307,0.429531357684356,0.069377440845394,0.0661421242055288,0.432575235469791
"CbMPDiCbraya","m.R.A.R.1","v.R.B.R.1",0.00038287770885979,0.427808407994487,0.0933647293054598,0.0417719580366031,0.436672026954591
"CbMPDiCbraya","m.R.A.R.1","v.R.B.R.2",0.000306302167087832,0.376866528830691,0.152576766980626,0.0575082318707405,0.412742170150854
"CbMPDiCbraya","m.R.A.R.1","v.R.B.R.3",0.00275671950379049,0.385251550654721,0.108048089440233,0.0138793169461674,0.490064323455088
"CbMPDiCbraya","m.R.A.R.1","v.R.B.R.4",0.00210582739872885,0.383700895933839,0.0520330806340455,0.0606286851979478,0.501531510835439
"CbMPDiCbraya","m.R.A.R.1","v.R.B.R.5",0.00356076269239605,0.411957270847691,0.0868175204839574,0.0561298721188452,0.44153457385711
"CbMPDiCbraya","m.R.A.R.1","v.R.B.R.6",0.00593460448732675,0.403610536794548,0.105291369936442,0.0577571023814994,0.427406386400184
"CbMPDiCbraya","m.R.A.R.1","v.R.C.R.1",0.00340761160885213,0.433896163565357,0.0558235699517574,0.0407381882226817,0.466134466651352
"CbMPDiCbraya","m.R.A.R.1","v.R.C.R.2",0.0020101079715139,0.428267861245118,0.0713109732751359,0.0686691170840034,0.429741940424228
"CbMPDiCbraya","m.R.A.R.1","v.R.C.R.3",0.00277586338923348,0.412914465119841,0.0920820889807795,0.0654529443295811,0.426774638180565
"CbMPDiCbraya","m.R.A.R.1","v.R.C.R.4",0.00459453250631748,0.403323378512903,0.0806531893713148,0.0118500650892105,0.499578834520254
"CbMPDiCbraya","m.R.A.R.1","v.R.C.R.5",0.0114097557240217,0.401294126655946,0.149934910789494,0.0226472164790566,0.414713990351482
"CbMPDiCbraya","m.R.A.R.1","v.R.C.R.6",0.00501569798606325,0.386266176583199,0.170935753120453,0.0160425760012252,0.421739796309059
"CbMPDiCbraya","m.R.A.R.1","v.R.D.R.1",0.00120606478290834,0.400930392832529,0.126349643923731,0.0622176276897159,0.409296270771116
"CbMPDiCbraya","m.R.A.R.1","v.R.D.R.2",0.00662378436327437,0.38530898231105,0.126713377747148,0,0.481353855578528
"CbMPDiCbraya","m.R.A.R.1","v.R.D.R.3",0.00614518722719963,0.397963090588866,0.117352017765526,0.0113140362968068,0.467225668121602
"CbMPDiCbraya","m.R.A.R.1","v.R.D.R.4",0.00926564055440692,0.438452408300789,0.0909717436250861,0.0143004824259132,0.447009725093805
"CbMPDiCbraya","m.R.A.R.1","v.R.D.R.5",0.00509227352783521,0.42667891875335,0.0680948005207137,0.00964851826326671,0.490485488934834
"CbMPDiCbraya","m.R.A.R.1","v.R.D.R.6",0.00472853970441841,0.413086760088828,0.0443180948005207,0.047361972585956,0.490504632820277
"CbMPDiCbraya","m.R.A.R.1","v.T.A.R.1",0.00277586338923348,0.399877479133165,0.10469790948771,0.0381346198024351,0.454514128187457
"CbMPDiCbraya","m.R.A.R.1","v.T.A.R.2",0.000918906501263497,0.40810934987365,0.0677502105827399,0.063806570181484,0.459414962860862
"CbMPDiCbraya","m.R.A.R.1","v.T.A.R.3",0.00371391377593996,0.400585802894555,0.0459453250631748,0.0107205758480741,0.539034382418256
"CbMPDiCbraya","m.R.A.R.1","v.T.A.R.4",0.00153151083543916,0.424936825178038,0.0699134696377977,0.0329657707328279,0.470652423615897
"CbMPDiCbraya","m.R.A.R.1","v.T.A.R.5",0.0021824029405008,0.386610766521173,0.0676927789264109,0.0223600581974117,0.521153993414503
"CbMPDiCbraya","m.R.A.R.1","v.T.A.R.6",0.000650892105061643,0.443410674630523,0.060264951374531,0.00681522321770426,0.48885825867218
"CbMPDiCbraya","m.R.A.R.1","v.T.B.R.1",0.00440309365188759,0.405276054828088,0.0867600888276285,0.0283329504556245,0.475227812236772
"CbMPDiCbraya","m.R.A.R.1","v.T.B.R.2",0.00204839574239988,0.426353472700819,0.118653801975649,0.0413316486714143,0.411612680909717
"CbMPDiCbraya","m.R.A.R.1","v.T.B.R.3",0.000516884906960717,0.40592694693315,0.141205299027491,0.0762500957194272,0.376100773412972
"CbMPDiCbraya","m.R.A.R.1","v.T.B.R.4",0.001818669117084,0.432670954897006,0.138582586721801,0.0144344896240141,0.412493299640095
"CbMPDiCbraya","m.R.A.R.1","v.T.B.R.5",0.00252699287847462,0.451757408683666,0.143330270311662,0.0183398422543839,0.384045485871813
"CbMPDiCbraya","m.R.A.R.1","v.T.B.R.6",0.0010912014702504,0.411899839191362,0.078432498659928,0.0561298721188452,0.452446588559614
"CbMPDiCbraya","m.R.A.R.1","v.T.C.R.1",0.000536028792403706,0.418715062409067,0.119400413507926,0.0610115629068076,0.400336932383797
"CbMPDiCbraya","m.R.A.R.1","v.T.C.R.2",0.00386706485948388,0.399418025882533,0.0576613829542844,0.127996018071828,0.411057508231871
"CbMPDiCbraya","m.R.A.R.1","v.T.C.R.3",0.00417336702657171,0.42277356612298,0.0636917068688261,0.0932115782219159,0.416149781759706
"CbMPDiCbraya","m.R.A.R.1","v.T.C.R.4",0.00168466191898308,0.462765142813385,0.0467302243663374,0.0631556780764224,0.425664292824872
"CbMPDiCbraya","m.R.A.R.1","v.T.C.R.5",0.00229726625315874,0.478137682824106,0.0564170304004901,0.069377440845394,0.393770579676851
"CbMPDiCbraya","m.R.A.R.1","v.T.C.R.6",0.00076575541771958,0.406577839038211,0.0679990810934987,0.107780075044031,0.41687724940654
"CbMPDiCbraya","m.R.A.R.1","v.T.D.R.1",0.000421165479745769,0.430277969216632,0.0606478290833908,0.0381346198024351,0.470518416417796
"CbMPDiCbraya","m.R.A.R.1","v.T.D.R.2",0,0.415269163029328,0.0612030017612375,0.0369668427904127,0.486560992419021
"CbMPDiCbraya","m.R.A.R.1","v.T.D.R.3",0.00306302167087832,0.390841565204074,0.104602190060495,0.0867409449421855,0.414752278122368
"CbMPDiCbraya","m.R.A.R.1","v.T.D.R.4",0.005475151236695,0.435102228348266,0.0515161957270848,0.0295198713530898,0.478386553334865
"CbMPDiCbraya","m.R.A.R.1","v.T.D.R.5",0.00160808637721112,0.460410444903898,0.0535454475840417,0.072976491308676,0.411459529826174
"CbMPDiCbraya","m.R.A.R.1","v.T.D.R.6",0.00350333103606708,0.373822651045256,0.0634619802435102,0.0244084539398116,0.534803583735355
"CbMPDiCbraya","m.R.A.R.2","m.R.A.R.3",0.00754269086453787,0.494543992648748,0.0163105903974271,0.0504632820277203,0.431139444061567
"CbMPDiCbraya","m.R.A.R.2","m.R.A.R.4",0.00580059728922582,0.561394440615667,0.0085764606784593,0.112202312581362,0.312026188835286
"CbMPDiCbraya","m.R.A.R.2","m.R.A.R.5",0.00499655410062026,0.560552109656176,0.011026878015162,0.0854200168466192,0.338004441381423
"CbMPDiCbraya","m.R.A.R.2","m.R.A.R.6",0.00664292824871736,0.485259208208898,0.0159277126885673,0.0285818209663833,0.463588329887434
"CbMPDiCbraya","m.R.A.R.2","m.R.B.R.1",0.0110460219006049,0.505992036143656,0.0165786047936289,0.0563213109732751,0.410062026188835
"CbMPDiCbraya","m.R.A.R.2","m.R.B.R.2",0.00939964775250785,0.487403323378513,0.0147216479056589,0.0809786354238456,0.407496745539475
"CbMPDiCbraya","m.R.A.R.2","m.R.B.R.3",0.00890190673099012,0.497511294892411,0.0187227199632437,0.0359330729764913,0.438931005436863
"CbMPDiCbraya","m.R.A.R.2","m.R.B.R.4",0.00828930239681446,0.550673864767593,0.00928478443984991,0.0960640171529214,0.335688031242821
"CbMPDiCbraya","m.R.A.R.2","m.R.B.R.5",0.0067577915613753,0.584692549199786,0.00614518722719963,0.100543686346581,0.301860785665059
"CbMPDiCbraya","m.R.A.R.2","m.R.B.R.6",0.010969446358833,0.522800367562601,0.0159851443448962,0.0816486714143503,0.36859637031932
"CbMPDiCbraya","m.R.A.R.2","m.R.C.R.1",0.00616433111264262,0.659028256374914,0.0121563672562983,0.141435025652806,0.181216019603339
"CbMPDiCbraya","m.R.A.R.2","m.R.C.R.2",0.00373305766138295,0.669614825024887,0.010931158587947,0.144632054521786,0.171088904203997
"CbMPDiCbraya","m.R.A.R.2","m.R.C.R.3",0.00560915843479593,0.549927253235317,0.014625928478444,0.169978558848304,0.25985910100314
"CbMPDiCbraya","m.R.A.R.2","m.R.C.R.4",0.00652806493605942,0.560169231947316,0.0196224825790642,0.12954667279271,0.28413354774485
"CbMPDiCbraya","m.R.A.R.2","m.R.C.R.5",0.00865303622023126,0.55808254843403,0.0281223677157516,0.0773795849605636,0.327762462669423
"CbMPDiCbraya","m.R.A.R.2","m.R.C.R.6",0.00476682747530439,0.550367562600505,0.021881461061337,0.0921203767516655,0.330863772111188
"CbMPDiCbraya","m.R.A.R.2","m.R.D.R.1",0.00574316563289685,0.560800980166935,0.0107971513898461,0.0906654414579983,0.331993261352324
"CbMPDiCbraya","m.R.A.R.2","m.R.D.R.2",0.00585802894555479,0.531242821042959,0.0179761084309671,0.0309939505322,0.413929091048319
"CbMPDiCbraya","m.R.A.R.2","m.R.D.R.3",0.00664292824871736,0.538000612604334,0.00983995711769661,0.127785435331955,0.317731066697297
"CbMPDiCbraya","m.R.A.R.2","m.R.D.R.4",0.005475151236695,0.571808714296654,0.00972509380503867,0.0873726931618041,0.325618347499809
"CbMPDiCbraya","m.R.A.R.2","m.R.D.R.5",0.003656482119611,0.545390152385328,0.00932307221073589,0.0900528371238226,0.351577456160502
