"ID","Bin","TaxonRelativeAbundance","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_1","Bin68",0.12992955050157,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter",NA
"ASV_2","Bin68",0.0523984097812492,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter",NA
"ASV_3","Bin68",0.0154823514647199,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter",NA
"ASV_5","Bin152",0.0125437650492211,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga","arabica/soli"
"ASV_6","Bin60",0.0102095404616654,"Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","achromogenes/adustus/albidoflavus/alboniger/antibioticus/aurantiacus/aureocirculatus/aureus/avermitilis/bobili/bungoensis/caeruleatus/canarius/canus/capoamus/cellostaticus/cellulosae/chartreusis/cinnabarigriseus/cinnamonensis/ciscaucasicus/coralus/corchorusii/curacoi/cyaneus/cyslabdanicus/diastatochromogenes/fimbriatus/flaveolus/flaveus/galbus/galilaeus/globifer/glomeroaurantiacus/graminifolii/griseochromogenes/griseoruber/griseus/hygroscopicus/indigocolor/lasaliensis/lincolnensis/longwoodensis/lucensis/minoensis/mirabilis/moderatus/natalensis/neopeptinius/novaecaesareae/olivaceoviridis/olivochromogenes/osmaniensis/panayensis/peruviensis/phaeoluteigriseus/plumbeus/plumbiresistens/pratensis/prunicolor/pseudovenezuelae/rameus/regalis/regensis/resistomycificus/rhizosphaerihabitans/rishiriensis/roseogriseus/rubiginosohelvolus/scabiei/shaanxiensis/sioyaensis/spinichromogenes/sviceus/triangulatus/tumescens/violaceoruber/viridochromogenes/yokosukanensis"
"ASV_7","Bin135",0.0093658800656848,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ensifer","kummerowiae/meliloti"
"ASV_8","Bin138",0.0080087912976151,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis","Nordella",NA
"ASV_9","Bin142",0.00726404097642324,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium",NA
"ASV_10","Bin47",0.00704096153355285,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales",NA,NA,NA
"ASV_11","Bin152",0.00676390696922514,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga",NA
"ASV_12","Bin128",0.0063087079153585,"Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Skermanella",NA
"ASV_13","Bin68",0.00571817222690184,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae",NA,NA
"ASV_14","Bin127",0.00609280742952923,"Bacteria","Proteobacteria","Alphaproteobacteria","Dongiales","Dongiaceae","Dongia",NA
"ASV_15","Bin155",0.00574529273127941,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","barthaii/fuliginis/quisquiliarum"
"ASV_16","Bin26",0.006340348503799,"Bacteria","Chloroflexi","Anaerolineae","SBR1031",NA,NA,NA
"ASV_17","Bin159",0.00559320519692677,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ASV_18","Bin108",0.00556209638308191,"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae",NA,NA
"ASV_19","Bin137",0.00500001063549191,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA
"ASV_20","Bin160",0.00532891322289439,"Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales",NA,NA,NA
"ASV_21","Bin137",0.00504680679990811,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Shinella",NA
"ASV_22","Bin72",0.00485031608681965,"Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Kribbella","pittospori/swartbergensis"
"ASV_23","Bin128",0.00455012932758166,"Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Skermanella","aerolata"
"ASV_24","Bin142",0.00422654448613557,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA,NA
"ASV_25","Bin68",0.00355438139724839,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Paenarthrobacter","aurescens/nicotinovorans/nitroguajacolicus"
"ASV_26","Bin60",0.00405105886957484,"Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","capitiformicae/diastatochromogenes/ipomoeae/neyagawaensis/ossamyceticus"
"ASV_27","Bin137",0.00384898452323217,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA
"ASV_28","Bin152",0.00385377049459292,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga","ossetica/zambiensis"
"ASV_29","Bin155",0.00352486790719044,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium",NA
"ASV_30","Bin152",0.00368014608911691,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga","aerilata"
"ASV_31","Bin137",0.00355491317184402,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mesorhizobium",NA
"ASV_32","Bin137",0.00339644434234372,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA
"ASV_33","Bin15",0.00355544494643966,"Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","AKYG1722",NA,NA
"ASV_34","Bin58",0.00350598990904527,"Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Blastococcus","saxobsidens"
"ASV_35","Bin53",0.00351768895014932,"Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Lechevalieria",NA
"ASV_36","Bin157",0.00344031574648391,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","limnosediminicola/parvus"
"ASV_37","Bin158",0.00344722881622721,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ASV_38","Bin17",0.00332571832112379,"Bacteria","Chloroflexi","Dehalococcoidia","S085",NA,NA,NA
"ASV_39","Bin147",0.00333901268601475,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae",NA,NA
"ASV_40","Bin58",0.00322973300661102,"Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Blastococcus",NA
"ASV_41","Bin138",0.00314092664913938,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia",NA
"ASV_42","Bin58",0.0030393577013724,"Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Blastococcus",NA
"ASV_43","Bin137",0.0029042869540802,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ensifer","adhaerens/fredii/meliloti/sesbaniae"
"ASV_44","Bin158",0.00294576537254001,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ASV_45","Bin159",0.00299548629723222,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ASV_46","Bin72",0.00292741914899048,"Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","albus/fulvus/luteus"
